channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
clean,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,7eeaefa8bb4e597b,B0a-R,16,16,7fe30b1136,0,uav:sea_open,ok,clean|uav_sea_open|clean|rep0|seed20240909,1.9842
mild,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,f85be7bbc12e94fc,B0a-R,16,16,7fe30b1136,0,uav:sea_open,ok,mild|uav_sea_open|mild|rep0|seed20240909,2.1654
mild,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,485c1602d0637778,B0a-R,16,16,7fe30b1136,3,uav:sea_open,ok,mild|uav_sea_open|mild|rep3|seed20240909,2.148
mild,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,6072a580aa49ea80,B0a-R,16,16,7fe30b1136,2,uav:sea_open,ok,mild|uav_sea_open|mild|rep2|seed20240909,2.4548
mild,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,d78bc3a0ca32acdf,B0a-R,16,16,7fe30b1136,1,uav:sea_open,ok,mild|uav_sea_open|mild|rep1|seed20240909,2.5777
mild,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,ce87edcb4da6ba17,B0a-R,16,16,7fe30b1136,4,uav:sea_open,ok,mild|uav_sea_open|mild|rep4|seed20240909,2.4294
bursty,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,1b69505090ae9d21,B0a-R,16,16,7fe30b1136,0,uav:sea_open,ok,bursty|uav_sea_open|bursty|rep0|seed20240909,2.2805
moderate,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,f29cc050542ae40e,B0a-R,16,16,7fe30b1136,0,uav:sea_open,ok,moderate|uav_sea_open|moderate|rep0|seed20240909,2.6408
moderate,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,937d9c995a8bf6f0,B0a-R,16,16,7fe30b1136,1,uav:sea_open,ok,moderate|uav_sea_open|moderate|rep1|seed20240909,2.6496
moderate,,nan,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,a56957124aebce41,,3c0b262525e498b6,B0a-R,16,16,7fe30b1136,2,uav:sea_open,ok,moderate|uav_sea_open|moderate|rep2|seed20240909,2.7223
