axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
frame_drop_prob,0.01,0.986111111111111,P,6,25.146474666175834,2.4303045453729624,0.649919895838601,0.0
frame_drop_prob,0.05,1.0,B0a-R,6,29.153060769911765,1.5363013457483292,0.9371619053351692,nan
frame_drop_prob,0.05,0.9537037037037037,B4,6,26.7076958346172,2.2472697069942984,0.7657443776894705,0.0
frame_drop_prob,0.05,0.9467592592592592,P,6,24.47915466040251,2.4771327839113266,0.6376194946851629,0.0
frame_drop_prob,0.1,1.0,B0a-R,6,29.14711710051171,1.5118831507602923,0.9361652553087669,nan
frame_drop_prob,0.1,0.8703703703703703,B4,6,25.070004103632005,1.591572014265635,0.729869579402045,0.0
frame_drop_prob,0.1,0.8819444444444443,P,6,23.65210421204547,1.992420332310721,0.620599243617442,0.0
frame_drop_prob,0.2,1.0,B0a-R,6,29.14128367709628,1.5310778692373797,0.9346814817159598,nan
frame_drop_prob,0.2,0.8194444444444445,B4,6,23.768930838887076,1.4189822773000398,0.710490039245351,0.0
frame_drop_prob,0.2,0.8043981481481483,P,6,22.407955976268426,1.7591953731694034,0.6016720613999266,0.0
gain,0.6,1.0,B0a-R,6,28.93528763849695,1.415599046493523,0.9168392025642259,nan
gain,0.6,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
gain,0.6,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
gain,0.75,1.0,B0a-R,6,29.044588161197694,1.4892998548412009,0.9291562479315497,nan
gain,0.75,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
gain,0.75,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
gain,0.9,1.0,B0a-R,6,29.15806109787242,1.5121042846814134,0.9364591190451957,nan
gain,0.9,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
gain,0.9,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
gain,1.0,1.0,B0a-R,6,29.1910650464646,1.5379720432988184,0.9396016761666254,nan
gain,1.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
gain,1.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
gain,1.1,1.0,B0a-R,6,29.210096088934154,1.5356057301810144,0.941926093363883,nan
gain,1.1,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
gain,1.1,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
line_jitter_sigma,0.0,1.0,B0a-R,6,29.23270055739194,1.5265450902874276,0.9386149727859744,nan
line_jitter_sigma,0.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
line_jitter_sigma,0.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
line_jitter_sigma,0.25,1.0,B0a-R,6,29.07413467190966,1.5373443460847576,0.9370354608090133,nan
line_jitter_sigma,0.25,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
line_jitter_sigma,0.25,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
line_jitter_sigma,0.5,1.0,B0a-R,6,28.429780307862625,1.5624490704672362,0.9301534132716,nan
line_jitter_sigma,0.5,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,6.73956176673568e-07
line_jitter_sigma,0.5,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
line_jitter_sigma,0.75,1.0,B0a-R,6,27.471768194542523,1.5752786036462099,0.9189438504542414,nan
line_jitter_sigma,0.75,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.00018870772946859903
line_jitter_sigma,0.75,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.00013966167365122512
line_jitter_sigma,1.0,1.0,B0a-R,6,26.316414631463022,1.531149073885427,0.9033683690646258,nan
line_jitter_sigma,1.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.002210576259489303
line_jitter_sigma,1.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.002042717889908257
line_jitter_sigma,1.5,1.0,B0a-R,6,24.190484539583156,1.621494820405885,0.864742345223246,nan
