burst_lines,column_twist,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,scheme,stripe_lost
4,1,1,1.0,276,1,bawp-32,True
8,1,1,1.0,274,1,bawp-32,True
16,1,1,1.0,270,1,bawp-32,True
24,1,1,1.0,266,1,bawp-32,True
32,1,1,1.0,262,1,bawp-32,True
48,1,1,1.0,254,1,bawp-32,True
64,1,1,1.0,246,1,bawp-32,True
1,3,1,1.0,278,1,bawp-32,True
2,3,1,1.0,277,1,bawp-32,True
4,3,1,1.0,276,1,bawp-32,True
8,3,1,1.0,274,1,bawp-32,True
16,3,1,1.0,270,1,bawp-32,True
24,3,1,1.0,266,1,bawp-32,True
32,3,1,1.0,262,1,bawp-32,True
48,3,1,1.0,254,1,bawp-32,True
64,3,1,1.0,246,1,bawp-32,True
1,0,1,1.0,278,2,bawp-32,False
2,0,1,0.9964,276,2,bawp-32,False
2,0,2,0.0036,1,2,bawp-32,True
4,0,1,0.9928,274,2,bawp-32,False
4,0,2,0.0072,2,2,bawp-32,True
8,0,1,0.9854,270,2,bawp-32,False
8,0,2,0.0146,4,2,bawp-32,True
16,0,1,0.9704,262,2,bawp-32,False
16,0,2,0.0296,8,2,bawp-32,True
24,0,1,0.9549,254,2,bawp-32,False
24,0,2,0.0451,12,2,bawp-32,True
32,0,1,0.9389,246,2,bawp-32,False
32,0,2,0.0611,16,2,bawp-32,True
48,0,1,0.9055,230,2,bawp-32,False
48,0,2,0.0945,24,2,bawp-32,True
64,0,1,0.8699,214,2,bawp-32,False
64,0,2,0.1301,32,2,bawp-32,True
1,1,1,1.0,278,2,bawp-32,False
2,1,1,0.9964,276,2,bawp-32,False
2,1,2,0.0036,1,2,bawp-32,True
4,1,1,0.9928,274,2,bawp-32,False
4,1,2,0.0072,2,2,bawp-32,True
8,1,1,0.9854,270,2,bawp-32,False
8,1,2,0.0146,4,2,bawp-32,True
16,1,1,0.9704,262,2,bawp-32,False
16,1,2,0.0296,8,2,bawp-32,True
24,1,1,0.9549,254,2,bawp-32,False
24,1,2,0.0451,12,2,bawp-32,True
32,1,1,0.9389,246,2,bawp-32,False
32,1,2,0.0611,16,2,bawp-32,True
48,1,1,0.9055,230,2,bawp-32,False
48,1,2,0.0945,24,2,bawp-32,True
64,1,1,0.8699,214,2,bawp-32,False
64,1,2,0.1301,32,2,bawp-32,True
1,3,1,1.0,278,2,bawp-32,False
2,3,1,0.9964,276,2,bawp-32,False
2,3,2,0.0036,1,2,bawp-32,True
4,3,1,0.9928,274,2,bawp-32,False
4,3,2,0.0072,2,2,bawp-32,True
8,3,1,0.9854,270,2,bawp-32,False
8,3,2,0.0146,4,2,bawp-32,True
16,3,1,0.9704,262,2,bawp-32,False
16,3,2,0.0296,8,2,bawp-32,True
24,3,1,0.9549,254,2,bawp-32,False
24,3,2,0.0451,12,2,bawp-32,True
32,3,1,0.9389,246,2,bawp-32,False
32,3,2,0.0611,16,2,bawp-32,True
48,3,1,0.9055,230,2,bawp-32,False
48,3,2,0.0945,24,2,bawp-32,True
64,3,1,0.8699,214,2,bawp-32,False
64,3,2,0.1301,32,2,bawp-32,True
1,0,1,1.0,278,4,bawp-32,False
2,0,1,0.9892,274,4,bawp-32,False
2,0,2,0.0108,3,4,bawp-32,False
4,0,1,0.9783,270,4,bawp-32,False
4,0,2,0.0217,6,4,bawp-32,False
8,0,1,0.9562,262,4,bawp-32,False
8,0,2,0.0438,12,4,bawp-32,False
16,0,1,0.9111,246,4,bawp-32,False
16,0,2,0.0889,24,4,bawp-32,False
24,0,1,0.8647,230,4,bawp-32,False
24,0,2,0.1353,36,4,bawp-32,False
32,0,1,0.8168,214,4,bawp-32,False
32,0,2,0.1832,48,4,bawp-32,False
48,0,1,0.7165,182,4,bawp-32,False
48,0,2,0.2835,72,4,bawp-32,False
64,0,1,0.6098,150,4,bawp-32,False
64,0,2,0.3902,96,4,bawp-32,False
1,1,1,1.0,278,4,bawp-32,False
2,1,1,0.9892,274,4,bawp-32,False
2,1,2,0.0108,3,4,bawp-32,False
4,1,1,0.9783,270,4,bawp-32,False
4,1,2,0.0217,6,4,bawp-32,False
8,1,1,0.9562,262,4,bawp-32,False
8,1,2,0.0438,12,4,bawp-32,False
16,1,1,0.9111,246,4,bawp-32,False
16,1,2,0.0889,24,4,bawp-32,False
24,1,1,0.8647,230,4,bawp-32,False
24,1,2,0.1353,36,4,bawp-32,False
32,1,1,0.8168,214,4,bawp-32,False
32,1,2,0.1832,48,4,bawp-32,False
48,1,1,0.7165,182,4,bawp-32,False
48,1,2,0.2835,72,4,bawp-32,False
64,1,1,0.6098,150,4,bawp-32,False
64,1,2,0.3902,96,4,bawp-32,False
1,3,1,1.0,278,4,bawp-32,False
2,3,1,0.9892,274,4,bawp-32,False
2,3,2,0.0108,3,4,bawp-32,False
4,3,1,0.9783,270,4,bawp-32,False
