burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
8,mild[noise_sigmaxburst_len_lines=8],1.0,,noise_x_burst,B4,6,4,,27.814705014858443,2.38756929112487
8,mild[noise_sigmaxburst_len_lines=8],1.0,,noise_x_burst,P,6,4,,25.481470859711024,2.4601562153399206
16,mild[noise_sigmaxburst_len_lines=9],1.0,,noise_x_burst,B0a-R,6,4,,29.01380276817328,1.5015278595770107
16,mild[noise_sigmaxburst_len_lines=9],1.0,,noise_x_burst,B4,6,4,,27.814705014858443,2.38756929112487
16,mild[noise_sigmaxburst_len_lines=9],1.0,,noise_x_burst,P,6,4,,25.481470859711024,2.4601562153399206
,mild[gainxoffset=0],1.0,0.6,gain_x_offset,B0a-R,6,,-20,28.8220140279536,1.4616866342962191
,mild[gainxoffset=0],1.0,0.6,gain_x_offset,B4,6,,-20,27.814705014858443,2.38756929112487
,mild[gainxoffset=0],1.0,0.6,gain_x_offset,P,6,,-20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=10],1.0,0.75,gain_x_offset,B0a-R,6,,20,29.051297452642846,1.5097204316815913
,mild[gainxoffset=10],1.0,0.75,gain_x_offset,B4,6,,20,27.814705014858443,2.38756929112487
,mild[gainxoffset=10],1.0,0.75,gain_x_offset,P,6,,20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=11],1.0,0.75,gain_x_offset,B0a-R,6,,40,29.043541304976596,1.508995280522882
,mild[gainxoffset=11],1.0,0.75,gain_x_offset,B4,6,,40,27.814705014858443,2.38756929112487
,mild[gainxoffset=11],1.0,0.75,gain_x_offset,P,6,,40,25.481470859711024,2.4601562153399206
,mild[gainxoffset=12],1.0,0.9,gain_x_offset,B0a-R,6,,-20,29.10083349205126,1.562197354900041
,mild[gainxoffset=12],1.0,0.9,gain_x_offset,B4,6,,-20,27.814705014858443,2.38756929112487
,mild[gainxoffset=12],1.0,0.9,gain_x_offset,P,6,,-20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=13],1.0,0.9,gain_x_offset,B0a-R,6,,-10,29.119421151301193,1.559506344887596
,mild[gainxoffset=13],1.0,0.9,gain_x_offset,B4,6,,-10,27.814705014858443,2.38756929112487
,mild[gainxoffset=13],1.0,0.9,gain_x_offset,P,6,,-10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=14],1.0,0.9,gain_x_offset,B0a-R,6,,0,29.137126275378993,1.559909830633159
,mild[gainxoffset=14],1.0,0.9,gain_x_offset,B4,6,,0,27.814705014858443,2.38756929112487
,mild[gainxoffset=14],1.0,0.9,gain_x_offset,P,6,,0,25.481470859711024,2.4601562153399206
,mild[gainxoffset=15],1.0,0.9,gain_x_offset,B0a-R,6,,10,29.130664619403962,1.5506622175920688
,mild[gainxoffset=15],1.0,0.9,gain_x_offset,B4,6,,10,27.814705014858443,2.38756929112487
,mild[gainxoffset=15],1.0,0.9,gain_x_offset,P,6,,10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=16],1.0,0.9,gain_x_offset,B0a-R,6,,20,29.100006226636747,1.5543639042664064
,mild[gainxoffset=16],1.0,0.9,gain_x_offset,B4,6,,20,27.814705014858443,2.38756929112487
,mild[gainxoffset=16],1.0,0.9,gain_x_offset,P,6,,20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=17],1.0,0.9,gain_x_offset,B0a-R,6,,40,29.133673369932865,1.5422655021392095
,mild[gainxoffset=17],1.0,0.9,gain_x_offset,B4,6,,40,27.814705014858443,2.38756929112487
,mild[gainxoffset=17],1.0,0.9,gain_x_offset,P,6,,40,25.481470859711024,2.4601562153399206
,mild[gainxoffset=18],1.0,1.0,gain_x_offset,B0a-R,6,,-20,29.152395826767858,1.5681813299622422
,mild[gainxoffset=18],1.0,1.0,gain_x_offset,B4,6,,-20,27.814705014858443,2.38756929112487
,mild[gainxoffset=18],1.0,1.0,gain_x_offset,P,6,,-20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=19],1.0,1.0,gain_x_offset,B0a-R,6,,-10,29.145235608258677,1.5613074233494835
,mild[gainxoffset=19],1.0,1.0,gain_x_offset,B4,6,,-10,27.814705014858443,2.38756929112487
,mild[gainxoffset=19],1.0,1.0,gain_x_offset,P,6,,-10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=1],1.0,0.6,gain_x_offset,B0a-R,6,,-10,28.90751418064227,1.4481179807036755
,mild[gainxoffset=1],1.0,0.6,gain_x_offset,B4,6,,-10,27.814705014858443,2.38756929112487
,mild[gainxoffset=1],1.0,0.6,gain_x_offset,P,6,,-10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=20],1.0,1.0,gain_x_offset,B0a-R,6,,0,29.159973776080008,1.5585498262001454
,mild[gainxoffset=20],1.0,1.0,gain_x_offset,B4,6,,0,27.814705014858443,2.38756929112487
,mild[gainxoffset=20],1.0,1.0,gain_x_offset,P,6,,0,25.481470859711024,2.4601562153399206
