accumulation_rows,availability,coverage,fec_nsym,fill,max_unit_payload,n_descriptions,placement,psnr_displayed,psnr_full,rs_k,scene,study,window_accumulation_ms,window_rows
278,0.6111111111111112,0.24305555555555555,32,,160,,,20.94196971719739,19.96144800934331,223,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.5555555555555556,0.2326388888888889,32,,160,,,23.564239933449542,23.033751955227903,223,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.7222222222222222,0.22916666666666666,32,,160,,,18.78506879062273,18.14496718139955,223,synthetic:road-v0,payload_x_fec,38.611,
278,0.3888888888888889,0.11805555555555555,32,,160,,,17.53148421191173,15.148032209277652,223,synthetic:road-v5,payload_x_fec,38.611,
278,0.6666666666666666,0.2743055555555556,32,,160,,,27.888453155908635,26.452163585604595,223,synthetic:targets-v0,payload_x_fec,38.611,
278,0.3333333333333333,0.1076388888888889,32,,160,,,18.695587990805574,18.002903947898723,223,synthetic:targets-v7,payload_x_fec,38.611,
278,0.9444444444444444,0.4652777777777778,64,,160,,,23.7663534928247,23.974466748057797,191,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.8333333333333334,0.4444444444444444,64,,160,,,27.58929187254422,26.904350171635112,191,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.8333333333333334,0.3958333333333333,64,,160,,,20.16456273891494,19.824483040449767,191,synthetic:road-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.3576388888888889,64,,160,,,22.010581622567642,21.39748139250274,191,synthetic:road-v5,payload_x_fec,38.611,
278,0.9444444444444444,0.4826388888888889,64,,160,,,29.369930874320193,28.902952754804783,191,synthetic:targets-v0,payload_x_fec,38.611,
278,0.6666666666666666,0.2534722222222222,64,,160,,,21.462878258792596,20.821737882230117,191,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.7256944444444444,96,,160,,,29.0003226522864,29.0003226522864,159,synthetic:horizon-v0,payload_x_fec,38.611,
278,1.0,0.6041666666666666,96,,160,,,28.306495507462888,28.306495507462888,159,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.9444444444444444,0.6006944444444444,96,,160,,,21.950604092265216,21.705147980500115,159,synthetic:road-v0,payload_x_fec,38.611,
278,1.0,0.5625,96,,160,,,22.771978830862892,22.771978830862892,159,synthetic:road-v5,payload_x_fec,38.611,
278,1.0,0.6979166666666666,96,,160,,,29.72941474065982,29.72941474065982,159,synthetic:targets-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.5173611111111112,96,,160,,,24.64533313109007,24.179581662066724,159,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.8402777777777778,128,,160,,,28.983063565254568,28.983063565254568,127,synthetic:horizon-v0,payload_x_fec,38.611,
278,1.0,0.7986111111111112,128,,160,,,30.211191270133707,30.211191270133707,127,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.9444444444444444,0.7361111111111112,128,,160,,,22.711256307376868,22.47359979897477,127,synthetic:road-v0,payload_x_fec,38.611,
278,1.0,0.7638888888888888,128,,160,,,25.221093161075363,25.221093161075363,127,synthetic:road-v5,payload_x_fec,38.611,
278,1.0,0.7777777777777778,128,,160,,,30.593805268096347,30.593805268096347,127,synthetic:targets-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.6354166666666666,128,,160,,,27.385079460535668,26.9208645082135,127,synthetic:targets-v7,payload_x_fec,38.611,
278,0.3888888888888889,0.14930555555555555,32,,240,,,19.367916363971265,17.9429515534482,223,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.4444444444444444,0.12152777777777778,32,,240,,,18.428514782446673,18.74373408678229,223,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.6666666666666666,0.1875,32,,240,,,18.01686606778767,17.08047610259824,223,synthetic:road-v0,payload_x_fec,38.611,
278,0.3888888888888889,0.1076388888888889,32,,240,,,16.790570387024484,14.25272423190883,223,synthetic:road-v5,payload_x_fec,38.611,
278,0.6111111111111112,0.11805555555555555,32,,240,,,19.356928481999958,19.109888601838346,223,synthetic:targets-v0,payload_x_fec,38.611,
278,0.2777777777777778,0.06944444444444445,32,,240,,,16.274582059649727,16.11102542839439,223,synthetic:targets-v7,payload_x_fec,38.611,
278,0.8888888888888888,0.3645833333333333,64,,240,,,19.665322460768024,19.62326207897842,191,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.7777777777777778,0.3784722222222222,64,,240,,,26.45490190705884,25.60816385773346,191,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.8333333333333334,0.3715277777777778,64,,240,,,19.565645098161536,19.22556539969636,191,synthetic:road-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.3472222222222222,64,,240,,,21.26348671923309,20.713548463974334,191,synthetic:road-v5,payload_x_fec,38.611,
278,0.8888888888888888,0.4027777777777778,64,,240,,,28.145913376094917,27.678412881833555,191,synthetic:targets-v0,payload_x_fec,38.611,
278,0.6666666666666666,0.20833333333333334,64,,240,,,20.74211433375369,20.03590149916992,191,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.7152777777777778,96,,240,,,27.176363167740206,27.176363167740206,159,synthetic:horizon-v0,payload_x_fec,38.611,
278,1.0,0.5902777777777778,96,,240,,,27.87413316897545,27.87413316897545,159,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.9444444444444444,0.6180555555555556,96,,240,,,22.328054242948355,22.071677627782098,159,synthetic:road-v0,payload_x_fec,38.611,
