channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,8325261ef4946372,B0a-R,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep1|seed20240909,1.1755
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,bae175e61b838c81,B0a-R,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep4|seed20240909,1.0266
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,17564480cd996595,B0a-R,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep2|seed20240909,1.175
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,e4428a47c29cb6c9,B0a-R,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,1.465
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,0e3e8828a0990b18,B0a-R,16,16,7fe30b1136,3,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,1.4466
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,ff1c966fc963df83,B0a-R,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,1.5068
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,d1fea6dd38d4d72c,B0a-R,16,16,7fe30b1136,0,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,1.5753
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,382257eb3c0b26c4,B0a-R,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep4|seed20240909,1.6482
moderate,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,fcd58f461c64db6b,B0a-R,16,16,7fe30b1136,0,synthetic:horizon-v0,ok,moderate|clip_horizon_slow_v0|moderate|rep0|seed20240909,1.6421
moderate,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,a366320553aac7d1,B0a-R,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,moderate|clip_horizon_slow_v0|moderate|rep4|seed20240909,1.6229
moderate,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,29f05a44b8bed06c,B0a-R,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,moderate|clip_horizon_slow_v0|moderate|rep2|seed20240909,1.7383
moderate,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,528595216e24a5f9,B0a-R,16,16,7fe30b1136,3,synthetic:horizon-v0,ok,moderate|clip_horizon_slow_v0|moderate|rep3|seed20240909,1.7372
moderate,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,f832b209a4038850,B0a-R,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,moderate|clip_horizon_slow_v0|moderate|rep1|seed20240909,1.8167
bursty,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,a55c0d6060b8f87a,B0a-R,16,16,7fe30b1136,0,synthetic:horizon-v0,ok,bursty|clip_horizon_slow_v0|bursty|rep0|seed20240909,1.6812
bursty,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,15f2f9de845a1890,B0a-R,16,16,7fe30b1136,3,synthetic:horizon-v0,ok,bursty|clip_horizon_slow_v0|bursty|rep3|seed20240909,1.4027
bursty,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,dfd2f7c222576167,B0a-R,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,bursty|clip_horizon_slow_v0|bursty|rep1|seed20240909,1.5336
bursty,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,1b80e0e96410f50b,B0a-R,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,bursty|clip_horizon_slow_v0|bursty|rep2|seed20240909,1.4947
bursty,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,4c4283d9fcd16805,B0a-R,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,bursty|clip_horizon_slow_v0|bursty|rep4|seed20240909,1.5186
harsh,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,2e8a7f907e700f9d,B0a-R,16,16,7fe30b1136,0,synthetic:horizon-v0,ok,harsh|clip_horizon_slow_v0|harsh|rep0|seed20240909,1.5902
harsh,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,f62d1fe6a8ac6a64,B0a-R,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,harsh|clip_horizon_slow_v0|harsh|rep2|seed20240909,1.4135
harsh,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,7cd7b4b4ab15cab8,B0a-R,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,harsh|clip_horizon_slow_v0|harsh|rep1|seed20240909,1.4669
harsh,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,61b5fc62eff72315,B0a-R,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,harsh|clip_horizon_slow_v0|harsh|rep4|seed20240909,1.4933
