availability,burst_len_lines,burst_rate_per_frame,coverage,method,operable,psnr_full,scene
1.0,12,2.0,0.9722222222222222,B4,0.9444444444444444,34.989928184647496,synthetic:targets-v7
1.0,12,2.0,0.9583333333333334,B4t,0.9444444444444444,31.211217773241984,synthetic:horizon-v0
1.0,12,2.0,0.9583333333333334,B4t,0.9444444444444444,32.18226497422275,synthetic:horizon-v3
1.0,12,2.0,0.9027777777777778,B4t,0.8333333333333334,25.901043503429854,synthetic:road-v0
1.0,12,2.0,0.9166666666666666,B4t,0.8888888888888888,29.073964589015006,synthetic:road-v5
1.0,12,2.0,0.9722222222222222,B4t,0.8888888888888888,33.008723715851666,synthetic:targets-v0
1.0,12,2.0,0.9861111111111112,B4t,0.9444444444444444,33.06613653536922,synthetic:targets-v7
1.0,12,2.0,0.9791666666666666,P,0.9444444444444444,31.885571640980704,synthetic:horizon-v0
1.0,12,2.0,0.9652777777777778,P,0.8888888888888888,32.18663829177546,synthetic:horizon-v3
1.0,12,2.0,0.9375,P,0.8333333333333334,24.11405085759858,synthetic:road-v0
1.0,12,2.0,0.9444444444444444,P,0.8333333333333334,26.720670694547294,synthetic:road-v5
1.0,12,2.0,0.9444444444444444,P,0.8333333333333334,30.9511493259191,synthetic:targets-v0
1.0,12,2.0,0.9791666666666666,P,0.9444444444444444,31.1709417950525,synthetic:targets-v7
1.0,16,2.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,16,2.0,0.9722222222222222,B4,0.9444444444444444,34.53801265863937,synthetic:horizon-v3
1.0,16,2.0,0.9444444444444444,B4,0.8888888888888888,27.918767910475676,synthetic:road-v0
1.0,16,2.0,0.9722222222222222,B4,0.9444444444444444,31.478753293474103,synthetic:road-v5
1.0,16,2.0,0.9722222222222222,B4,0.9444444444444444,34.973234140818604,synthetic:targets-v0
1.0,16,2.0,0.9444444444444444,B4,0.8888888888888888,33.99486496349114,synthetic:targets-v7
1.0,16,2.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,16,2.0,0.9583333333333334,B4t,0.9444444444444444,32.25089286047107,synthetic:horizon-v3
1.0,16,2.0,0.9166666666666666,B4t,0.8888888888888888,26.33951544266873,synthetic:road-v0
1.0,16,2.0,0.9583333333333334,B4t,0.9444444444444444,29.83685197937135,synthetic:road-v5
1.0,16,2.0,0.9861111111111112,B4t,0.9444444444444444,33.37944195247181,synthetic:targets-v0
1.0,16,2.0,0.9444444444444444,B4t,0.8888888888888888,32.26728116218593,synthetic:targets-v7
1.0,16,2.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,16,2.0,0.9791666666666666,P,0.9444444444444444,31.66302018325071,synthetic:horizon-v3
1.0,16,2.0,0.9583333333333334,P,0.8888888888888888,24.589640834435237,synthetic:road-v0
1.0,16,2.0,0.9791666666666666,P,0.9444444444444444,27.49958295256259,synthetic:road-v5
1.0,16,2.0,0.9652777777777778,P,0.8888888888888888,31.388372871356506,synthetic:targets-v0
1.0,16,2.0,0.9444444444444444,P,0.8333333333333334,30.300790787969888,synthetic:targets-v7
1.0,20,2.0,0.9722222222222222,B4,0.9444444444444444,33.41135611774609,synthetic:horizon-v0
1.0,20,2.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,20,2.0,0.9722222222222222,B4,0.9444444444444444,28.513972892755515,synthetic:road-v0
1.0,20,2.0,0.9722222222222222,B4,0.9444444444444444,31.497861423603517,synthetic:road-v5
