accumulation_rows,admissible,bits_per_symbol,burst_lines,burst_symbol_rows,claimed_bound_bytes,column_twist,correctable_erasures,correctable_errors,frac_positions_stripe_lost,frac_positions_uncorrectable,mean_damaged_bytes,n_burst_positions,n_descriptions,n_rs_blocks_per_unit,n_units_placed,reason,rs_k,rs_nsym,scheme,survives_as_errors,symbols_per_byte,worst_damaged_bytes,worst_damaged_symbols,worst_unit
278,True,2,16,9,-1,1,128,64,0.0,0.0,37.64,270,2,5,6,,127,128,diagonal-64,True,4,39,117,0
278,True,2,24,13,-1,1,128,64,0.0,0.0,50.18,266,2,5,6,,127,128,diagonal-64,True,4,52,169,0
278,True,2,32,17,-1,1,128,64,0.0,0.0,62.72,262,2,5,6,,127,128,diagonal-64,True,4,65,221,0
278,True,2,48,25,-1,1,128,64,0.0,0.0,87.8,254,2,5,6,,127,128,diagonal-64,True,4,91,325,0
278,True,2,64,33,-1,1,128,64,0.0,0.0,112.88,246,2,5,6,,127,128,diagonal-64,True,4,117,429,0
278,True,2,1,1,-1,1,128,64,0.0,0.0,12.55,278,4,5,6,,127,128,diagonal-64,True,4,13,13,0
278,True,2,2,2,-1,1,128,64,0.0,0.0,15.67,277,4,5,6,,127,128,diagonal-64,True,4,20,26,0
278,True,2,4,3,-1,1,128,64,0.0,0.0,18.82,276,4,5,6,,127,128,diagonal-64,True,4,20,39,0
278,True,2,8,5,-1,1,128,64,0.0,0.0,25.09,274,4,5,6,,127,128,diagonal-64,True,4,26,65,0
278,True,2,16,9,-1,1,128,64,0.0,0.0,37.64,270,4,5,6,,127,128,diagonal-64,True,4,39,117,0
278,True,2,24,13,-1,1,128,64,0.0,0.0,50.18,266,4,5,6,,127,128,diagonal-64,True,4,52,169,0
278,True,2,32,17,-1,1,128,64,0.0,0.0,62.72,262,4,5,6,,127,128,diagonal-64,True,4,65,221,0
278,True,2,48,25,-1,1,128,64,0.0,0.0,87.8,254,4,5,6,,127,128,diagonal-64,True,4,91,325,0
278,True,2,64,33,-1,1,128,64,0.0,0.0,112.88,246,4,5,6,,127,128,diagonal-64,True,4,117,429,0
278,True,2,1,1,-1,1,128,64,0.0,0.0,12.48,278,1,5,6,,127,128,random-64,True,4,24,25,0
278,True,2,2,2,-1,1,128,64,0.0,0.0,24.84,277,1,5,6,,127,128,random-64,True,4,45,45,5
278,True,2,4,3,-1,1,128,64,0.0,0.0,37.08,276,1,5,6,,127,128,random-64,True,4,56,56,5
278,True,2,8,5,-1,1,128,64,0.0,0.0,61.14,274,1,5,6,,127,128,random-64,True,4,84,86,5
278,True,2,16,9,-1,1,128,64,0.0074,0.0074,107.72,270,1,5,6,,127,128,random-64,False,4,137,142,0
278,True,2,24,13,-1,1,128,64,0.282,0.282,152.2,266,1,5,6,,127,128,random-64,False,4,185,194,5
278,True,2,32,17,-1,1,128,64,0.9924,0.9924,194.68,262,1,5,6,,127,128,random-64,False,4,227,247,0
278,True,2,48,25,-1,1,128,64,1.0,1.0,273.77,254,1,5,6,,127,128,random-64,False,4,308,356,2
278,True,2,64,33,-1,1,128,64,1.0,1.0,345.67,246,1,5,6,,127,128,random-64,False,4,384,464,0
278,True,2,1,1,-1,1,128,64,0.0,0.0,12.48,278,2,5,6,,127,128,random-64,True,4,24,25,0
278,True,2,2,2,-1,1,128,64,0.0,0.0,24.84,277,2,5,6,,127,128,random-64,True,4,45,45,5
278,True,2,4,3,-1,1,128,64,0.0,0.0,37.08,276,2,5,6,,127,128,random-64,True,4,56,56,5
278,True,2,8,5,-1,1,128,64,0.0,0.0,61.14,274,2,5,6,,127,128,random-64,True,4,84,86,5
278,True,2,16,9,-1,1,128,64,0.0,0.0074,107.72,270,2,5,6,,127,128,random-64,False,4,137,142,0
278,True,2,24,13,-1,1,128,64,0.0,0.282,152.2,266,2,5,6,,127,128,random-64,False,4,185,194,5
278,True,2,32,17,-1,1,128,64,0.5038,0.9924,194.68,262,2,5,6,,127,128,random-64,False,4,227,247,0
278,True,2,48,25,-1,1,128,64,1.0,1.0,273.77,254,2,5,6,,127,128,random-64,False,4,308,356,2
278,True,2,64,33,-1,1,128,64,1.0,1.0,345.67,246,2,5,6,,127,128,random-64,False,4,384,464,0
278,True,2,1,1,-1,1,128,64,0.0,0.0,12.48,278,4,5,6,,127,128,random-64,True,4,24,25,0
278,True,2,2,2,-1,1,128,64,0.0,0.0,24.84,277,4,5,6,,127,128,random-64,True,4,45,45,5
278,True,2,4,3,-1,1,128,64,0.0,0.0,37.08,276,4,5,6,,127,128,random-64,True,4,56,56,5
278,True,2,8,5,-1,1,128,64,0.0,0.0,61.14,274,4,5,6,,127,128,random-64,True,4,84,86,5
278,True,2,16,9,-1,1,128,64,0.0,0.0074,107.72,270,4,5,6,,127,128,random-64,False,4,137,142,0
278,True,2,24,13,-1,1,128,64,0.0,0.282,152.2,266,4,5,6,,127,128,random-64,False,4,185,194,5
278,True,2,32,17,-1,1,128,64,0.0267,0.9924,194.68,262,4,5,6,,127,128,random-64,False,4,227,247,0
278,True,2,48,25,-1,1,128,64,1.0,1.0,273.77,254,4,5,6,,127,128,random-64,False,4,308,356,2
278,True,2,64,33,-1,1,128,64,1.0,1.0,345.67,246,4,5,6,,127,128,random-64,False,4,384,464,0
278,True,2,1,1,4,0,128,64,0.0,0.0,12.55,278,1,5,6,,127,128,bawp-8,True,4,13,13,0
278,True,2,2,2,7,0,128,64,0.0,0.0,15.67,277,1,5,6,,127,128,bawp-8,True,4,20,26,0
278,True,2,4,3,10,0,128,64,0.0,0.0,18.82,276,1,5,6,,127,128,bawp-8,True,4,20,39,0
278,True,2,8,5,17,0,128,64,0.0,0.0,25.09,274,1,5,6,,127,128,bawp-8,True,4,26,65,0
278,True,2,16,9,30,0,128,64,0.0,0.0,37.64,270,1,5,6,,127,128,bawp-8,True,4,39,117,0
278,True,2,24,13,43,0,128,64,0.0,0.0,50.18,266,1,5,6,,127,128,bawp-8,True,4,52,169,0
278,True,2,32,17,56,0,128,64,0.0,0.0,62.72,262,1,5,6,,127,128,bawp-8,True,4,65,221,0
278,True,2,48,25,82,0,128,64,0.0,0.0,87.8,254,1,5,6,,127,128,bawp-8,True,4,91,325,0
278,True,2,64,33,108,0,128,64,0.0,0.0,112.88,246,1,5,6,,127,128,bawp-8,True,4,117,429,0
278,True,2,1,1,4,1,128,64,0.0,0.0,12.55,278,1,5,6,,127,128,bawp-8,True,4,13,13,0
278,True,2,2,2,7,1,128,64,0.0,0.0,15.67,277,1,5,6,,127,128,bawp-8,True,4,20,26,0
278,True,2,4,3,10,1,128,64,0.0,0.0,18.82,276,1,5,6,,127,128,bawp-8,True,4,20,39,0
278,True,2,8,5,17,1,128,64,0.0,0.0,25.09,274,1,5,6,,127,128,bawp-8,True,4,26,65,0
278,True,2,16,9,30,1,128,64,0.0,0.0,37.64,270,1,5,6,,127,128,bawp-8,True,4,39,117,0
278,True,2,24,13,43,1,128,64,0.0,0.0,50.18,266,1,5,6,,127,128,bawp-8,True,4,52,169,0
278,True,2,32,17,56,1,128,64,0.0,0.0,62.72,262,1,5,6,,127,128,bawp-8,True,4,65,221,0
278,True,2,48,25,82,1,128,64,0.0,0.0,87.8,254,1,5,6,,127,128,bawp-8,True,4,91,325,0
278,True,2,64,33,108,1,128,64,0.0,0.0,112.88,246,1,5,6,,127,128,bawp-8,True,4,117,429,0
278,True,2,1,1,4,3,128,64,0.0,0.0,12.55,278,1,5,6,,127,128,bawp-8,True,4,13,13,0
278,True,2,2,2,7,3,128,64,0.0,0.0,15.67,277,1,5,6,,127,128,bawp-8,True,4,20,26,0
278,True,2,4,3,10,3,128,64,0.0,0.0,18.82,276,1,5,6,,127,128,bawp-8,True,4,20,39,0
278,True,2,8,5,17,3,128,64,0.0,0.0,25.09,274,1,5,6,,127,128,bawp-8,True,4,26,65,0
278,True,2,16,9,30,3,128,64,0.0,0.0,37.64,270,1,5,6,,127,128,bawp-8,True,4,39,117,0
278,True,2,24,13,43,3,128,64,0.0,0.0,50.18,266,1,5,6,,127,128,bawp-8,True,4,52,169,0
278,True,2,32,17,56,3,128,64,0.0,0.0,62.72,262,1,5,6,,127,128,bawp-8,True,4,65,221,0
278,True,2,48,25,82,3,128,64,0.0,0.0,87.8,254,1,5,6,,127,128,bawp-8,True,4,91,325,0
278,True,2,64,33,108,3,128,64,0.0,0.0,112.88,246,1,5,6,,127,128,bawp-8,True,4,117,429,0
278,True,2,1,1,7,0,128,64,0.0,0.0,12.55,278,2,5,6,,127,128,bawp-8,True,4,26,26,0
278,True,2,2,2,13,0,128,64,0.0,0.0,15.72,277,2,5,6,,127,128,bawp-8,True,4,33,52,0
278,True,2,4,3,20,0,128,64,0.0,0.0,18.89,276,2,5,6,,127,128,bawp-8,True,4,40,78,0
278,True,2,8,5,33,0,128,64,0.0,0.0,25.23,274,2,5,6,,127,128,bawp-8,True,4,52,130,0
278,True,2,16,9,59,0,128,64,0.0,0.0,37.92,270,2,5,6,,127,128,bawp-8,True,4,78,234,0
278,True,2,24,13,85,0,128,64,0.0,0.0,50.61,266,2,5,6,,127,128,bawp-8,True,4,104,338,0
278,True,2,32,17,111,0,128,64,0.0,0.0,63.3,262,2,5,6,,127,128,bawp-8,True,4,129,438,0
278,True,2,48,25,163,0,128,64,0.0,0.0,88.7,254,2,5,6,,127,128,bawp-8,True,4,179,638,0
278,True,2,64,33,215,0,128,64,0.0,0.8943,114.11,246,2,5,6,,127,128,bawp-8,False,4,229,838,0
278,True,2,1,1,7,1,128,64,0.0,0.0,12.55,278,2,5,6,,127,128,bawp-8,True,4,26,26,0
278,True,2,2,2,13,1,128,64,0.0,0.0,15.72,277,2,5,6,,127,128,bawp-8,True,4,33,52,0
278,True,2,4,3,20,1,128,64,0.0,0.0,18.89,276,2,5,6,,127,128,bawp-8,True,4,40,78,0
278,True,2,8,5,33,1,128,64,0.0,0.0,25.23,274,2,5,6,,127,128,bawp-8,True,4,52,130,0
278,True,2,16,9,59,1,128,64,0.0,0.0,37.92,270,2,5,6,,127,128,bawp-8,True,4,78,234,0
278,True,2,24,13,85,1,128,64,0.0,0.0,50.61,266,2,5,6,,127,128,bawp-8,True,4,104,338,0
278,True,2,32,17,111,1,128,64,0.0,0.0,63.3,262,2,5,6,,127,128,bawp-8,True,4,129,438,0
278,True,2,48,25,163,1,128,64,0.0,0.0,88.7,254,2,5,6,,127,128,bawp-8,True,4,179,638,0
278,True,2,64,33,215,1,128,64,0.0,0.8943,114.11,246,2,5,6,,127,128,bawp-8,False,4,229,838,0
278,True,2,1,1,7,3,128,64,0.0,0.0,12.55,278,2,5,6,,127,128,bawp-8,True,4,26,26,0
278,True,2,2,2,13,3,128,64,0.0,0.0,15.72,277,2,5,6,,127,128,bawp-8,True,4,33,52,0
278,True,2,4,3,20,3,128,64,0.0,0.0,18.89,276,2,5,6,,127,128,bawp-8,True,4,40,78,0
278,True,2,8,5,33,3,128,64,0.0,0.0,25.23,274,2,5,6,,127,128,bawp-8,True,4,52,130,0
