admissible,availability,bits_per_frame,codec,n_descriptions,n_frames,n_scheduled_instants,psnr_full,quality,reason,ssim_full,stripe_height,units_per_frame,wire_bytes_per_frame
False,0.0,,dct,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,dct,4,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,dct,4,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,dct,4,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,dct,4,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
True,1.0,42033.0,jpeg,1,32,32,30.686821977545712,8,,0.8723660009727747,16,12.0,15456.0
True,1.0,44381.0,jpeg,1,32,32,32.4945923564277,12,,0.9040222183183171,16,12.0,15456.0
True,0.75,43012.0,jpeg,1,24,32,36.03810463610734,18,,0.9289218430525018,16,12.0,15456.0
True,0.71875,45113.391304347824,jpeg,1,23,32,37.322468929104446,25,,0.9447569952939997,16,12.0,15456.0
True,0.6875,48144.36363636364,jpeg,1,22,32,38.809918605302826,35,,0.9577588029417288,16,12.0,15456.0
True,0.5,51769.5,jpeg,1,16,32,40.84933360943891,50,,0.9679992951867523,16,12.0,15456.0
True,0.1875,52022.666666666664,jpeg,1,6,32,42.4111454715946,70,,0.986741813881844,16,12.0,15456.0
True,0.875,29945.714285714286,jpeg,1,28,32,31.310431302621346,8,,0.874029097161782,24,8.0,10304.0
True,0.8125,31937.846153846152,jpeg,1,26,32,33.51072748297983,12,,0.9013141940823515,24,8.307692307692308,10700.307692307691
True,0.75,32764.333333333332,jpeg,1,24,32,36.03810463610734,18,,0.9289218430525018,24,8.125,10948.0
True,0.75,35293.0,jpeg,1,24,32,37.396049823892355,25,,0.9458107075676141,24,8.333333333333334,12021.333333333334
True,0.5625,37043.11111111111,jpeg,1,18,32,38.81860954541212,35,,0.9562836211678203,24,8.61111111111111,12021.333333333334
True,0.375,39765.333333333336,jpeg,1,12,32,40.729392068350485,50,,0.9818026471459903,24,9.25,14597.333333333334
True,0.25,45842.0,jpeg,1,8,32,43.645912217674656,70,,0.9886738270967581,24,10.75,15456.0
True,1.0,26911.5,jpeg,1,32,32,30.697278105280013,8,,0.8728065931892814,48,6.25,9016.0
True,0.90625,30195.58620689655,jpeg,1,29,32,32.98586066463237,12,,0.9024987735063182,48,6.931034482758621,9593.379310344828
True,0.75,28161.666666666668,jpeg,1,24,32,36.04001580583522,18,,0.9289913089475167,48,6.375,9660.0
True,0.75,33252.0,jpeg,1,24,32,37.400120311262164,25,,0.9458903629734451,48,7.541666666666667,11162.666666666666
