channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",64c69ea2258c32f4,B0d,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep3|seed20240909,0.2031
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",225da6f79ffac167,B0d,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep4|seed20240909,0.234
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",eadedf57e49f6bbf,B4,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep0|seed20240909,0.1962
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",efa83216784236a0,B4,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep1|seed20240909,0.2265
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",eecb8061b5c72661,B4,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep2|seed20240909,0.2334
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",fd6975b803f76e55,B4,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep3|seed20240909,0.2379
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",d5597bfc9c1eae5f,B4,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep4|seed20240909,0.1988
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",902fa49877aed103,B4,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep0|seed20240909,0.1967
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",469ae44e6a2a6a0e,B4,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep1|seed20240909,0.201
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",ea20911ecbf7e4df,B4,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep2|seed20240909,0.2505
