authenticated,channel,coverage_meaning,failures,hi,lo,mean,method,metric,n_bit_exact_excluded,n_failed,n_observations,n_scenes,n_sources,n_units,unit_of_independence
False,clean,,"{""capacity"": 80}",33.32365482032115,29.617638183367912,31.53760715533356,B0d,psnr_full,0,80,1520,19,19,19,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B1,psnr_full,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B2,psnr_full,0,0,1600,20,20,20,scene
True,clean,,{},33.02702992780319,29.26511165550549,31.183555513102544,B3,psnr_full,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",33.32365482032115,29.617638183367912,31.53760715533356,B4,psnr_full,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 80}",31.32162087659719,27.802704016076365,29.62073799795876,B4t,psnr_full,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 160}",30.25917559673174,26.24878174490817,28.316649016155488,P,psnr_full,0,160,1440,18,18,18,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B0a,ssim_full,0,0,1600,20,20,20,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B0a-R,ssim_full,0,0,1600,20,20,20,scene
False,clean,,"{""capacity"": 80}",0.9139817148656173,0.8868923425488282,0.9022252791975058,B0d,ssim_full,0,80,1520,19,19,19,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B1,ssim_full,0,0,1600,20,20,20,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B2,ssim_full,0,0,1600,20,20,20,scene
True,clean,,{},0.91339178893017,0.887310387685432,0.9019831178903116,B3,ssim_full,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",0.9139817148656173,0.8868923425488282,0.9022252791975058,B4,ssim_full,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 80}",0.880616393566689,0.8552223078867263,0.8686648424077564,B4t,ssim_full,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 160}",0.840993957833928,0.7995308811627907,0.8216257911358198,P,ssim_full,0,160,1440,18,18,18,scene
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a,coverage,0,0,1600,20,20,20,scene
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a-R,coverage,0,0,1600,20,20,20,scene
False,clean,"картинка показана, але НЕ автентифікована","{""capacity"": 80}",1.0,1.0,1.0,B0d,coverage,0,80,1520,19,19,19,scene
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B1,coverage,0,0,1600,20,20,20,scene
False,clean,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B2,coverage,0,0,1600,20,20,20,scene
True,clean,,{},1.0,1.0,1.0,B3,coverage,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",1.0,1.0,1.0,B4,coverage,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 80}",1.0,1.0,1.0,B4t,coverage,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 160}",1.0,1.0,1.0,P,coverage,0,160,1440,18,18,18,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B0a,psnr_verified,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B0a-R,psnr_verified,0,0,1600,20,20,20,scene
False,clean,,"{""capacity"": 80}",33.32365482032115,29.617638183367912,31.53760715533356,B0d,psnr_verified,0,80,1520,19,19,19,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B1,psnr_verified,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B2,psnr_verified,0,0,1600,20,20,20,scene
True,clean,,{},33.02702992780319,29.26511165550549,31.183555513102544,B3,psnr_verified,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",33.32365482032115,29.617638183367912,31.53760715533356,B4,psnr_verified,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 80}",31.32162087659719,27.802704016076365,29.62073799795876,B4t,psnr_verified,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 160}",30.25917559673174,26.24878174490817,28.316649016155488,P,psnr_verified,0,160,1440,18,18,18,scene
False,clean,,{},1.0,1.0,1.0,B0a,availability,0,0,1600,20,20,20,scene
False,clean,,{},1.0,1.0,1.0,B0a-R,availability,0,0,1600,20,20,20,scene
False,clean,,"{""capacity"": 80}",1.0,0.85,0.95,B0d,availability,0,80,1520,20,20,20,scene
False,clean,,{},1.0,1.0,1.0,B1,availability,0,0,1600,20,20,20,scene
False,clean,,{},1.0,1.0,1.0,B2,availability,0,0,1600,20,20,20,scene
True,clean,,{},1.0,1.0,1.0,B3,availability,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",1.0,0.85,0.95,B4,availability,0,80,1520,20,20,20,scene
True,clean,,"{""capacity"": 80}",1.0,0.85,0.95,B4t,availability,0,80,1520,20,20,20,scene
True,clean,,"{""capacity"": 160}",1.0,0.75,0.9,P,availability,0,160,1440,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B0a,psnr_displayed,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B0a-R,psnr_displayed,0,0,1600,20,20,20,scene
False,clean,,"{""capacity"": 80}",32.882718342175195,27.69693294801303,30.533953362431834,B0d,psnr_displayed,0,80,1520,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B1,psnr_displayed,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B2,psnr_displayed,0,0,1600,20,20,20,scene
True,clean,,{},33.02702992780319,29.26511165550549,31.183555513102544,B3,psnr_displayed,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",32.882718342175195,27.69693294801303,30.533953362431834,B4,psnr_displayed,0,80,1520,20,20,20,scene
True,clean,,"{""capacity"": 80}",30.90523756774,26.113788012315055,28.71292766292578,B4t,psnr_displayed,0,80,1520,20,20,20,scene
True,clean,,"{""capacity"": 160}",29.277688198247944,23.336719875397485,26.502548281770505,P,psnr_displayed,0,160,1440,20,20,20,scene
False,harsh,,"{""no_sync"": 80}",16.15488673465922,14.724746888355183,15.487502051391989,B0a,psnr_full,0,80,1520,20,20,20,scene
False,harsh,,{},19.525059291206958,17.568769042853273,18.618228729629365,B0a-R,psnr_full,0,0,1600,20,20,20,scene
False,harsh,,"{""no_sync"": 383, ""deadline_miss"": 1137, ""capacity"": 80}",nan,nan,nan,B0d,psnr_full,0,1600,0,0,0,0,scene
False,harsh,,"{""no_sync"": 80}",15.716783805051247,14.244100269601608,15.015177485678063,B1,psnr_full,0,80,1520,20,20,20,scene
False,harsh,,"{""no_sync"": 80}",15.654978077731833,14.186479470199462,14.955052518849524,B2,psnr_full,0,80,1520,20,20,20,scene
True,harsh,,"{""no_sync"": 240, ""deadline_miss"": 1360}",nan,nan,nan,B3,psnr_full,0,1600,0,0,0,0,scene
True,harsh,,"{""no_sync"": 383, ""deadline_miss"": 1137, ""capacity"": 80}",nan,nan,nan,B4,psnr_full,0,1600,0,0,0,0,scene
True,harsh,,"{""no_sync"": 400, ""deadline_miss"": 1120, ""capacity"": 80}",nan,nan,nan,B4t,psnr_full,0,1600,0,0,0,0,scene
True,harsh,,"{""no_sync"": 477, ""deadline_miss"": 963, ""capacity"": 160}",nan,nan,nan,P,psnr_full,0,1600,0,0,0,0,scene
False,harsh,,"{""no_sync"": 80}",0.35569692796533847,0.2538628792335693,0.3035601235213631,B0a,ssim_full,0,80,1520,20,20,20,scene
False,harsh,,{},0.4636739034952075,0.35189087914226685,0.40647321852537194,B0a-R,ssim_full,0,0,1600,20,20,20,scene
False,harsh,,"{""no_sync"": 383, ""deadline_miss"": 1137, ""capacity"": 80}",nan,nan,nan,B0d,ssim_full,0,1600,0,0,0,0,scene
