burst_lines,column_twist,descriptions_in_one_stripe,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,outcome,scheme,stripe_lost
4,1,1,1,0.5507,152,4,lost,block-16,False
4,1,2,2,0.0435,12,4,lost,block-16,False
8,1,1,-1,0.708,194,4,touched,block-16,False
8,1,2,-1,0.292,80,4,touched,block-16,False
8,1,0,0,0.0365,10,4,lost,block-16,False
8,1,1,1,0.8759,240,4,lost,block-16,False
8,1,2,2,0.0876,24,4,lost,block-16,False
16,1,1,-1,0.6444,174,4,touched,block-16,False
16,1,2,-1,0.3556,96,4,touched,block-16,False
16,1,1,1,0.763,206,4,lost,block-16,False
16,1,2,2,0.237,64,4,lost,block-16,False
24,1,1,-1,0.5789,154,4,touched,block-16,False
24,1,2,-1,0.4211,112,4,touched,block-16,False
24,1,1,1,0.6992,186,4,lost,block-16,False
24,1,2,2,0.3008,80,4,lost,block-16,False
32,1,1,-1,0.5115,134,4,touched,block-16,False
32,1,2,-1,0.4885,128,4,touched,block-16,False
32,1,1,1,0.6336,166,4,lost,block-16,False
32,1,2,2,0.3664,96,4,lost,block-16,False
48,1,1,-1,0.3701,94,4,touched,block-16,False
48,1,2,-1,0.6299,160,4,touched,block-16,False
48,1,1,1,0.4961,126,4,lost,block-16,False
48,1,2,2,0.5039,128,4,lost,block-16,False
64,1,1,-1,0.2195,54,4,touched,block-16,False
64,1,2,-1,0.7805,192,4,touched,block-16,False
64,1,1,1,0.3496,86,4,lost,block-16,False
64,1,2,2,0.6504,160,4,lost,block-16,False
1,1,1,-1,1.0,278,1,touched,block-64,False
1,1,0,0,1.0,278,1,lost,block-64,False
2,1,1,-1,1.0,277,1,touched,block-64,False
2,1,0,0,1.0,277,1,lost,block-64,False
4,1,1,-1,1.0,276,1,touched,block-64,False
4,1,0,0,1.0,276,1,lost,block-64,False
8,1,1,-1,1.0,274,1,touched,block-64,False
8,1,0,0,0.9343,256,1,lost,block-64,False
8,1,1,1,0.0657,18,1,lost,block-64,True
16,1,1,-1,1.0,270,1,touched,block-64,False
16,1,0,0,0.9333,252,1,lost,block-64,False
16,1,1,1,0.0667,18,1,lost,block-64,True
24,1,1,-1,1.0,266,1,touched,block-64,False
24,1,0,0,0.4361,116,1,lost,block-64,False
24,1,1,1,0.5639,150,1,lost,block-64,True
32,1,1,-1,1.0,262,1,touched,block-64,False
32,1,0,0,0.145,38,1,lost,block-64,False
32,1,1,1,0.855,224,1,lost,block-64,True
48,1,1,-1,1.0,254,1,touched,block-64,False
48,1,0,0,0.0472,12,1,lost,block-64,False
48,1,1,1,0.9528,242,1,lost,block-64,True
64,1,1,-1,1.0,246,1,touched,block-64,False
64,1,1,1,1.0,246,1,lost,block-64,True
1,1,1,-1,0.3094,86,2,touched,block-64,False
1,1,2,-1,0.6906,192,2,touched,block-64,False
1,1,0,0,1.0,278,2,lost,block-64,False
2,1,1,-1,0.3032,84,2,touched,block-64,False
2,1,2,-1,0.6968,193,2,touched,block-64,False
2,1,0,0,1.0,277,2,lost,block-64,False
4,1,1,-1,0.2971,82,2,touched,block-64,False
4,1,2,-1,0.7029,194,2,touched,block-64,False
4,1,0,0,1.0,276,2,lost,block-64,False
8,1,1,-1,0.2847,78,2,touched,block-64,False
8,1,2,-1,0.7153,196,2,touched,block-64,False
8,1,0,0,0.9343,256,2,lost,block-64,False
8,1,1,1,0.0657,18,2,lost,block-64,False
16,1,1,-1,0.2593,70,2,touched,block-64,False
16,1,2,-1,0.7407,200,2,touched,block-64,False
16,1,0,0,0.9333,252,2,lost,block-64,False
16,1,1,1,0.0667,18,2,lost,block-64,False
