channel_value,clip,corrected_symbols,coverage,detail,estimated_fraction,frame,frame_id,max_age_frames,method,payload_bytes,psnr_full,psnr_verified,rasters,repetition,scene,ssim_full,ssim_verified,stale_fraction,status,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,units_rejected,units_sent,units_verified,wire_bytes,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,15,15.0,0.0,B0a,0.0,53.215511052533515,53.215511052533515,1.0,2.0,synthetic:horizon-v0,0.9973117527592376,0.9973117527592376,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,2,2.0,0.0,B0a,0.0,53.32252178119467,53.32252178119467,1.0,3.0,synthetic:horizon-v0,0.9973579304891286,0.9973579304891286,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,5,5.0,0.0,B0a,0.0,53.26220213349554,53.26220213349554,1.0,3.0,synthetic:horizon-v0,0.9973412971802956,0.9973412971802956,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,8,8.0,0.0,B0a,0.0,53.28733013890411,53.28733013890411,1.0,3.0,synthetic:horizon-v0,0.997358749134685,0.997358749134685,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,11,11.0,0.0,B0a,0.0,53.28790950721061,53.28790950721061,1.0,3.0,synthetic:horizon-v0,0.997364281885963,0.997364281885963,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,14,14.0,0.0,B0a,0.0,53.25012321157109,53.25012321157109,1.0,3.0,synthetic:horizon-v0,0.9973344753164838,0.9973344753164838,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,1,1.0,0.0,B0a,0.0,53.35035281561396,53.35035281561396,1.0,4.0,synthetic:horizon-v0,0.9973609835368039,0.9973609835368039,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,4,4.0,0.0,B0a,0.0,53.266235917867434,53.266235917867434,1.0,4.0,synthetic:horizon-v0,0.9973446077230356,0.9973446077230356,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,7,7.0,0.0,B0a,0.0,53.2627781590709,53.2627781590709,1.0,4.0,synthetic:horizon-v0,0.997340551989109,0.997340551989109,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,10,10.0,0.0,B0a,0.0,53.315518912460426,53.315518912460426,1.0,4.0,synthetic:horizon-v0,0.9973717497979164,0.9973717497979164,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
