channel,channel_axis,channel_value,clip,corrected_symbols,coverage,estimated_fraction,frame_id,job_id,max_age_frames,method,payload_bytes,provenance,psnr_full,psnr_verified,rasters,repetition,resynchronised,scene,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_channel_trace,x_combine,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_frame_verified,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,12,8a2d3be3cbc95c3e,0.0,B0a,0,synthetic,31.375759017506432,31.375759017506432,1,1,False,synthetic:horizon-v0,0.9009374174188259,0.9009374174188259,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9587854719004872,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,15,8a2d3be3cbc95c3e,0.0,B0a,0,synthetic,31.251811457266605,31.251811457266605,1,1,False,synthetic:horizon-v0,0.9026682274927017,0.9026682274927017,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9610291789911063,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,2,093136938b20ebd5,0.0,B0a,0,synthetic,31.39329046494779,31.39329046494779,1,2,False,synthetic:horizon-v0,0.9002105992667023,0.9002105992667023,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9698518328407326,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,5,093136938b20ebd5,0.0,B0a,0,synthetic,31.411139310073604,31.411139310073604,1,2,False,synthetic:horizon-v0,0.8990557465684699,0.8990557465684699,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9640078940306398,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,8,093136938b20ebd5,0.0,B0a,0,synthetic,31.381688985340812,31.381688985340812,1,2,False,synthetic:horizon-v0,0.9004247017699449,0.9004247017699449,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9620044502631536,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,11,093136938b20ebd5,0.0,B0a,0,synthetic,31.31262422043538,31.31262422043538,1,2,False,synthetic:horizon-v0,0.9002976588568018,0.9002976588568018,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9814478013942117,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,14,093136938b20ebd5,0.0,B0a,0,synthetic,31.3421228647234,31.3421228647234,1,2,False,synthetic:horizon-v0,0.9020905201159212,0.9020905201159212,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9637441758105374,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,1,5f26145a3ed4c620,0.0,B0a,0,synthetic,31.53991370496535,31.53991370496535,1,3,False,synthetic:horizon-v0,0.9011905012169746,0.9011905012169746,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9726755965069863,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,4,5f26145a3ed4c620,0.0,B0a,0,synthetic,31.520743825404928,31.520743825404928,1,3,False,synthetic:horizon-v0,0.8993173911595606,0.8993173911595606,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.959955961347722,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,7,5f26145a3ed4c620,0.0,B0a,0,synthetic,31.18155764634084,31.18155764634084,1,3,False,synthetic:horizon-v0,0.8991657833964628,0.8991657833964628,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9538540695506749,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,10,5f26145a3ed4c620,0.0,B0a,0,synthetic,31.312238186778075,31.312238186778075,1,3,False,synthetic:horizon-v0,0.9009319990498502,0.9009319990498502,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9746720205135212,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,13,5f26145a3ed4c620,0.0,B0a,0,synthetic,31.245272265050414,31.245272265050414,1,3,False,synthetic:horizon-v0,0.9012163949842863,0.9012163949842863,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9882302324416079,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,0,91550485ee60ad13,0.0,B0a,0,synthetic,31.679349264244404,31.679349264244404,1,4,False,synthetic:horizon-v0,0.9014516058046472,0.9014516058046472,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep4|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9629522028244332,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,3,91550485ee60ad13,0.0,B0a,0,synthetic,31.51984905753571,31.51984905753571,1,4,False,synthetic:horizon-v0,0.8994649016916592,0.8994649016916592,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep4|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9527773690546592,,
mild,,nan,clip_horizon_slow_v0,0,1.0,0.0,6,91550485ee60ad13,0.0,B0a,0,synthetic,31.583724714029607,31.583724714029607,1,4,False,synthetic:horizon-v0,0.9008082736203029,0.9008082736203029,0.0,,,,,,,,,,,0,nan,True,mild|clip_horizon_slow_v0|mild|rep4|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",1.0,0.0,,,,,,,,,0.9551850075542598,,
