burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
,mild[gainxoffset=0],1.0,0.6,gain_x_offset,B4,6,,-20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=0],1.0,0.6,gain_x_offset,P,6,,-20,30.252280210321263,2.879750082925159
,mild[gainxoffset=10],1.0,0.75,gain_x_offset,B0a-R,6,,20,31.313097144357375,2.015961317526325
,mild[gainxoffset=10],1.0,0.75,gain_x_offset,B4,6,,20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=10],1.0,0.75,gain_x_offset,P,6,,20,30.252280210321263,2.879750082925159
,mild[gainxoffset=11],1.0,0.75,gain_x_offset,B0a-R,6,,40,31.316017876313683,2.0004777886218417
,mild[gainxoffset=11],1.0,0.75,gain_x_offset,B4,6,,40,33.8518308336543,2.6701546587709486
,mild[gainxoffset=11],1.0,0.75,gain_x_offset,P,6,,40,30.252280210321263,2.879750082925159
,mild[gainxoffset=12],1.0,0.9,gain_x_offset,B0a-R,6,,-20,31.438080193333388,2.05876897115854
,mild[gainxoffset=12],1.0,0.9,gain_x_offset,B4,6,,-20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=12],1.0,0.9,gain_x_offset,P,6,,-20,30.252280210321263,2.879750082925159
,mild[gainxoffset=13],1.0,0.9,gain_x_offset,B0a-R,6,,-10,31.449381581552704,2.0583947293833416
,mild[gainxoffset=13],1.0,0.9,gain_x_offset,B4,6,,-10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=13],1.0,0.9,gain_x_offset,P,6,,-10,30.252280210321263,2.879750082925159
,mild[gainxoffset=14],1.0,0.9,gain_x_offset,B0a-R,6,,0,31.461034113060677,2.0577588819368344
,mild[gainxoffset=14],1.0,0.9,gain_x_offset,B4,6,,0,33.8518308336543,2.6701546587709486
,mild[gainxoffset=14],1.0,0.9,gain_x_offset,P,6,,0,30.252280210321263,2.879750082925159
,mild[gainxoffset=15],1.0,0.9,gain_x_offset,B0a-R,6,,10,31.449557158794097,2.0746939255449934
