axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
burst_rate_per_frame,2.0,0.9652777777777778,P,6,29.45015553486637,2.8512544265121127,0.8467701628292623,0.061919231604183174
burst_rate_per_frame,4.0,1.0,B0a-R,6,26.036282392196046,1.930530908987979,0.7835629965065937,nan
burst_rate_per_frame,4.0,0.9027777777777778,B4,6,30.966466533791024,2.043154657132543,0.8992207042946244,0.13817651721014493
burst_rate_per_frame,4.0,0.9108796296296297,P,6,28.146723980813096,2.2861332480008283,0.8390237562975681,0.13430084805753764
burst_rate_per_frame,6.0,1.0,B0a-R,6,24.087651173742753,1.4704548324007864,0.7178504026472217,nan
burst_rate_per_frame,6.0,0.8159722222222222,B4,6,28.832192110120076,3.166189637539278,0.88600413800862,0.18801759834368528
burst_rate_per_frame,6.0,0.8616898148148149,P,6,27.926890430509022,2.7747396148669483,0.8417489865668415,0.18442611587760036
burst_rate_per_frame,8.0,1.0,B0a-R,6,21.756751740314883,0.8560184492307864,0.6102804670294103,nan
burst_rate_per_frame,8.0,0.7453703703703703,B4,6,26.943173676760974,2.308660651963836,0.8748174640655267,0.21461662676846097
burst_rate_per_frame,8.0,0.8223379629629629,P,6,27.67631826858408,2.4006122745366913,0.8417172514272959,0.21775555579152037
frame_drop_prob,0.0,1.0,B0a-R,6,31.532123076051832,2.095458122403099,0.9334382756877208,nan
frame_drop_prob,0.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
frame_drop_prob,0.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
frame_drop_prob,0.01,1.0,B0a-R,6,31.516288706072686,2.09558028762826,0.9332709193362425,nan
frame_drop_prob,0.01,0.9814814814814815,B4,6,33.293592595263014,2.6258630937784373,0.9146534671358523,0.0
frame_drop_prob,0.01,0.986111111111111,P,6,29.844784172416027,2.8514773477309663,0.8491151449059627,0.0
frame_drop_prob,0.05,1.0,B0a-R,6,31.514731366397132,2.10251007612139,0.9326766909265142,nan
frame_drop_prob,0.05,0.9629629629629629,B4,6,32.75617989387472,2.3633627285958316,0.9114870375878555,0.0
frame_drop_prob,0.05,0.9606481481481483,P,6,29.368839971653234,2.950255203650192,0.8463362183459312,0.0
frame_drop_prob,0.1,1.0,B0a-R,6,31.491204676258334,2.0724429182243904,0.9312857574590504,nan
frame_drop_prob,0.1,0.8842592592592594,B4,6,30.60161886010853,2.8105873917037973,0.8951308549247979,0.0
frame_drop_prob,0.1,0.8969907407407408,P,6,27.95566129648385,3.182619481863579,0.837293972912207,0.0
frame_drop_prob,0.2,0.9814814814814815,B0a-R,6,31.18273086809636,1.8730345122264482,0.9281502974463985,nan
frame_drop_prob,0.2,0.8472222222222223,B4,6,29.572433306163934,3.764190687274688,0.8875311122928569,0.0
frame_drop_prob,0.2,0.8229166666666666,P,6,26.612608439094547,2.887218394626783,0.8329689291923777,0.0
gain,0.6,1.0,B0a-R,6,31.113169539803792,1.9161425679796864,0.8879197045602757,nan
gain,0.6,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
gain,0.6,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
gain,0.75,1.0,B0a-R,6,31.37089893560568,2.031478885243176,0.9150156115132012,nan
gain,0.75,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
gain,0.75,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
gain,0.9,1.0,B0a-R,6,31.510207388652734,2.08952926495518,0.9305814271455709,nan
gain,0.9,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
gain,0.9,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
gain,1.0,1.0,B0a-R,6,31.56956164550758,2.106790269125499,0.937494840342628,nan
gain,1.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
gain,1.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
gain,1.1,1.0,B0a-R,6,31.618085140578458,2.118439931333909,0.942732501572666,nan
gain,1.1,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
gain,1.1,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
line_jitter_sigma,0.0,1.0,B0a-R,6,31.590602369338484,2.0939190164835373,0.9339502080093399,nan
line_jitter_sigma,0.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
line_jitter_sigma,0.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
line_jitter_sigma,0.25,1.0,B0a-R,6,31.481897413036915,2.0950561368800082,0.933241348467804,nan
line_jitter_sigma,0.25,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
line_jitter_sigma,0.25,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
line_jitter_sigma,0.5,1.0,B0a-R,6,30.86963208068796,2.1083789093208893,0.9297943448311271,nan
line_jitter_sigma,0.5,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,5.391649413388544e-06
line_jitter_sigma,0.5,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,4.8667742666213615e-06
line_jitter_sigma,0.75,1.0,B0a-R,6,29.890350086314324,2.1887889709987145,0.9235905969322052,nan
line_jitter_sigma,0.75,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0002644154733149298
line_jitter_sigma,0.75,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.00019127897647902743
line_jitter_sigma,1.0,1.0,B0a-R,6,28.83725232751375,2.267579865887535,0.9160225474460889,nan
line_jitter_sigma,1.0,0.9953703703703703,B4,6,33.73226834548963,2.741332246582934,0.9164708795453661,0.002254608063031976
line_jitter_sigma,1.0,0.9965277777777777,P,6,30.17552706988825,2.9392646096668775,0.8503066819174748,0.0020020139596783333
line_jitter_sigma,1.5,1.0,B0a-R,6,26.699129929783727,2.414619916287217,0.8936948873141283,nan
