availability,coverage,label,order,psnr_displayed,psnr_full,scene,step
1.0,0.890625,+ два описи (MDC),fwd,20.20711442533911,20.20711442533911,natural:81047795,4
1.0,0.8802083333333334,+ два описи (MDC),fwd,22.33348669875437,22.33348669875437,natural:97165575,4
1.0,0.8098958333333334,+ два описи (MDC),fwd,19.45841224926853,19.45841224926853,natural:98913003,4
1.0,0.8072916666666666,+ два описи (MDC),fwd,21.933946597237448,21.933946597237448,natural:99599833,4
1.0,0.8385416666666666,+ BAWP = P,fwd,33.34567949827906,33.34567949827906,natural:105627169,5
1.0,0.8411458333333334,+ BAWP = P,fwd,25.728950758637893,25.728950758637893,natural:106651461,5
1.0,0.8125,+ BAWP = P,fwd,23.22498689972336,23.22498689972336,natural:108911529,5
1.0,0.7630208333333334,+ BAWP = P,fwd,26.71864674013288,26.71864674013288,natural:116466520,5
1.0,0.8098958333333334,+ BAWP = P,fwd,22.221531718175395,22.221531718175395,natural:123079448,5
1.0,0.8645833333333334,+ BAWP = P,fwd,22.035035077882565,22.035035077882565,natural:144041236,5
1.0,0.8203125,+ BAWP = P,fwd,21.36836761110169,21.36836761110169,natural:74983792,5
1.0,0.7994791666666666,+ BAWP = P,fwd,20.325987807717045,20.325987807717045,natural:81047795,5
1.0,0.8359375,+ BAWP = P,fwd,22.625860432163552,22.625860432163552,natural:97165575,5
1.0,0.7682291666666666,+ BAWP = P,fwd,20.089862518985928,20.089862518985928,natural:98913003,5
1.0,0.7552083333333334,+ BAWP = P,fwd,22.74509415605858,22.74509415605858,natural:99599833,5
0.8333333333333334,0.6927083333333334,B4 (база),rev,30.08280991934751,28.57969841081031,natural:105627169,0
0.9166666666666666,0.7291666666666666,B4 (база),rev,24.44540072847052,23.539916424560428,natural:106651461,0
0.875,0.6979166666666666,B4 (база),rev,22.367980088635207,21.572829563822378,natural:108911529,0
0.875,0.6302083333333334,B4 (база),rev,22.827877279298054,22.31341549404056,natural:116466520,0
0.9166666666666666,0.6145833333333334,B4 (база),rev,18.99665481986753,18.55413285553749,natural:123079448,0
0.875,0.7135416666666666,B4 (база),rev,21.83258320126509,21.06105628563176,natural:144041236,0
0.9583333333333334,0.640625,B4 (база),rev,19.3393894818068,19.261695861196884,natural:74983792,0
1.0,0.8072916666666666,B4 (база),rev,20.961703180300777,20.961703180300777,natural:81047795,0
0.875,0.7291666666666666,B4 (база),rev,22.393663119185955,20.983795864389073,natural:97165575,0
0.875,0.6145833333333334,B4 (база),rev,17.903402357386806,17.910267880808615,natural:98913003,0
0.8333333333333334,0.6354166666666666,B4 (база),rev,21.152688059704662,20.845013347867006,natural:99599833,0
1.0,0.6770833333333334,+ менша одиниця 640→320 Б,rev,32.29772434848018,32.29772434848018,natural:105627169,3
1.0,0.7317708333333334,+ менша одиниця 640→320 Б,rev,26.095337727904834,26.095337727904834,natural:106651461,3
1.0,0.6614583333333334,+ менша одиниця 640→320 Б,rev,23.06464264842594,23.06464264842594,natural:108911529,3
1.0,0.625,+ менша одиниця 640→320 Б,rev,26.510130501190503,26.510130501190503,natural:116466520,3
0.5,0.2942708333333333,+ менша одиниця 640→320 Б,rev,19.09564541466385,20.656843523189306,natural:123079448,3
0.9583333333333334,0.65625,+ менша одиниця 640→320 Б,rev,22.487515480253126,22.083582992641443,natural:144041236,3
1.0,0.6302083333333334,+ менша одиниця 640→320 Б,rev,20.425208730108675,20.425208730108675,natural:74983792,3
0.125,0.08333333333333333,+ менша одиниця 640→320 Б,rev,14.230806303801465,18.62269419330605,natural:81047795,3
1.0,0.6393229166666666,+ менша одиниця 640→320 Б,rev,21.431028735264295,21.431028735264295,natural:97165575,3
1.0,0.5768229166666666,+ менша одиниця 640→320 Б,rev,19.547778368144392,19.547778368144392,natural:98913003,3
0.9583333333333334,0.5885416666666666,+ менша одиниця 640→320 Б,rev,21.366873255631393,21.153642713197858,natural:99599833,3
1.0,0.8385416666666666,+ сильніший FEC nsym 96→128,rev,34.90930324805456,34.90930324805456,natural:105627169,4
1.0,0.8411458333333334,+ сильніший FEC nsym 96→128,rev,26.577195002389136,26.577195002389136,natural:106651461,4
1.0,0.8151041666666666,+ сильніший FEC nsym 96→128,rev,24.053566922766468,24.053566922766468,natural:108911529,4
1.0,0.7526041666666666,+ сильніший FEC nsym 96→128,rev,27.55665623559159,27.55665623559159,natural:116466520,4
0.5,0.38671875,+ сильніший FEC nsym 96→128,rev,20.2693633973326,22.0019617436101,natural:123079448,4
1.0,0.8606770833333334,+ сильніший FEC nsym 96→128,rev,22.804766052857897,22.804766052857897,natural:144041236,4
1.0,0.8203125,+ сильніший FEC nsym 96→128,rev,21.934771331553858,21.934771331553858,natural:74983792,4
0.125,0.10546875,+ сильніший FEC nsym 96→128,rev,15.132803712318085,21.8683426735311,natural:81047795,4
1.0,0.8515625,+ сильніший FEC nsym 96→128,rev,23.366231657025498,23.366231657025498,natural:97165575,4
