channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,98b92f746860bc77,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,mild|nat_074983792|mild|rep0|seed20240909,1.6711
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e509fe015851426f,B0a-R,16,16,7fe30b1136,3,natural:74983792,ok,mild|nat_074983792|mild|rep3|seed20240909,1.5804
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b20f083f61854902,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,mild|nat_074983792|mild|rep1|seed20240909,1.751
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,7f1fa90000efd5cb,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,mild|nat_074983792|mild|rep2|seed20240909,1.8384
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,5387d018be6d9200,B0a-R,16,16,7fe30b1136,4,natural:74983792,ok,mild|nat_074983792|mild|rep4|seed20240909,1.7593
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,90d29cef22c6c496,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,moderate|nat_074983792|moderate|rep0|seed20240909,1.9964
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e0100c68cb86fcbd,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,moderate|nat_074983792|moderate|rep2|seed20240909,1.9294
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,8233cd62274c2e57,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,moderate|nat_074983792|moderate|rep1|seed20240909,1.9747
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,9e37cd35a77e09ce,B0a-R,16,16,7fe30b1136,3,natural:74983792,ok,moderate|nat_074983792|moderate|rep3|seed20240909,1.9912
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,531da4ec1345930f,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,bursty|nat_074983792|bursty|rep0|seed20240909,1.6884
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,2d4ee581a642d283,B0a-R,16,16,7fe30b1136,4,natural:74983792,ok,moderate|nat_074983792|moderate|rep4|seed20240909,1.97
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,35bf807f827b59b4,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,bursty|nat_074983792|bursty|rep1|seed20240909,1.6205
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3a0c25c2cb84ca2d,B0a-R,16,16,7fe30b1136,4,natural:74983792,ok,bursty|nat_074983792|bursty|rep4|seed20240909,1.6319
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,c311cebfcaaca7bb,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,bursty|nat_074983792|bursty|rep2|seed20240909,1.6804
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,296fd7cb1fddde1c,B0a-R,16,16,7fe30b1136,3,natural:74983792,ok,bursty|nat_074983792|bursty|rep3|seed20240909,1.6866
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,11f7cd54d2813e0e,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,harsh|nat_074983792|harsh|rep0|seed20240909,1.6603
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,7df736484e6b2c1b,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,harsh|nat_074983792|harsh|rep1|seed20240909,1.6644
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b9b05535ef3d48c0,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,harsh|nat_074983792|harsh|rep2|seed20240909,1.5695
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,7a740e972ad0c8ac,B0a-R,16,16,7fe30b1136,3,natural:74983792,ok,harsh|nat_074983792|harsh|rep3|seed20240909,1.6581
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3ae08f4aa91e832a,B0a-R,16,16,7fe30b1136,4,natural:74983792,ok,harsh|nat_074983792|harsh|rep4|seed20240909,1.6177
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,58d11333aee1c2a1,B0d,16,16,7fe30b1136,0,natural:74983792,ok,clean|nat_074983792|clean|rep0|seed20240909,3.7404
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,943337b649a18231,B0d,16,16,7fe30b1136,1,natural:74983792,ok,clean|nat_074983792|clean|rep1|seed20240909,3.5691
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e2cb0a49f7296e4e,B0d,16,16,7fe30b1136,3,natural:74983792,ok,clean|nat_074983792|clean|rep3|seed20240909,3.7695
