authenticated,channel,coverage_meaning,failures,hi,lo,mean,method,metric,n_bit_exact_excluded,n_failed,n_observations,n_scenes,n_sources,n_units,unit_of_independence
False,harsh,,"{""no_sync"": 47}",0.310934136468208,0.23691918619263944,0.27506133328797633,B2,ssim_full,0,47,1073,14,14,14,source
True,harsh,,"{""no_sync"": 186, ""deadline_miss"": 934}",nan,nan,nan,B3,ssim_full,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B4,ssim_full,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 256, ""deadline_miss"": 864}",nan,nan,nan,B4t,ssim_full,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 335, ""deadline_miss"": 785}",nan,nan,nan,P,ssim_full,0,1120,0,0,0,0,source
False,harsh,"картинка показана, але НЕ автентифікована","{""no_sync"": 47}",1.0,1.0,1.0,B0a,coverage,0,47,1073,14,14,14,source
False,harsh,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a-R,coverage,0,0,1120,14,14,14,source
False,harsh,"картинка показана, але НЕ автентифікована","{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B0d,coverage,0,1120,0,0,0,0,source
False,harsh,"картинка показана, але НЕ автентифікована","{""no_sync"": 47}",1.0,1.0,1.0,B1,coverage,0,47,1073,14,14,14,source
False,harsh,"картинка показана, але НЕ автентифікована","{""no_sync"": 47}",1.0,1.0,1.0,B2,coverage,0,47,1073,14,14,14,source
True,harsh,,"{""no_sync"": 186, ""deadline_miss"": 934}",nan,nan,nan,B3,coverage,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B4,coverage,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 256, ""deadline_miss"": 864}",nan,nan,nan,B4t,coverage,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 335, ""deadline_miss"": 785}",nan,nan,nan,P,coverage,0,1120,0,0,0,0,source
False,harsh,,"{""no_sync"": 47}",16.089099115290523,15.469966945746318,15.751378281417345,B0a,psnr_verified,0,47,1073,14,14,14,source
False,harsh,,{},19.125686979915,18.239067295297804,18.66082232749556,B0a-R,psnr_verified,0,0,1120,14,14,14,source
False,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B0d,psnr_verified,0,1120,0,0,0,0,source
False,harsh,,"{""no_sync"": 47}",15.512514908236898,14.902549116913406,15.183507442793196,B1,psnr_verified,0,47,1073,14,14,14,source
False,harsh,,"{""no_sync"": 47}",15.515769985107239,14.94029992247229,15.20138787443953,B2,psnr_verified,0,47,1073,14,14,14,source
True,harsh,,"{""no_sync"": 186, ""deadline_miss"": 934}",nan,nan,nan,B3,psnr_verified,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",nan,nan,nan,B4,psnr_verified,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 256, ""deadline_miss"": 864}",nan,nan,nan,B4t,psnr_verified,0,1120,0,0,0,0,source
True,harsh,,"{""no_sync"": 335, ""deadline_miss"": 785}",nan,nan,nan,P,psnr_verified,0,1120,0,0,0,0,source
False,harsh,,"{""no_sync"": 47}",0.9660714285714287,0.95,0.9580357142857142,B0a,availability,0,47,1073,14,14,14,source
False,harsh,,{},1.0,1.0,1.0,B0a-R,availability,0,0,1120,14,14,14,source
False,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",0.0,0.0,0.0,B0d,availability,0,1120,0,14,14,14,source
