authenticated,corrected_symbols,coverage,estimated_fraction,frame_id,max_age_frames,method,payload_bytes,provenance,psnr_full,psnr_verified,rasters,realisation,resynchronised,source,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_ok,status_frame_incomplete,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_segments,x_sync_score,x_units_per_raster
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,22.6392863879569,22.6392863879569,1,1,False,seq_edges_slow,0.6060827004436313,0.6060827004436313,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9509983588331076,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,19.098660506669592,19.098660506669592,1,2,False,seq_edges_slow,0.5405702044773476,0.5405702044773476,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9190432369763885,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,19.59129525255873,19.59129525255873,1,2,False,seq_edges_slow,0.5544010749489281,0.5544010749489281,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9436474504930152,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,18.11052193772101,18.11052193772101,1,2,False,seq_edges_slow,0.5197427723201338,0.5197427723201338,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9223196664405522,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,20.861354956527606,20.861354956527606,1,2,False,seq_edges_slow,0.5770040587596266,0.5770040587596266,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9479753884631047,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,23.109912979463974,23.109912979463974,1,0,False,seq_texture_fast,0.8385672811120243,0.8385672811120243,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9208979048177812,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,23.42084807885513,23.42084807885513,1,0,False,seq_texture_fast,0.8408407707195283,0.8408407707195283,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.941319502981248,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,24.87712466634136,24.87712466634136,1,0,False,seq_texture_fast,0.8708568717633626,0.8708568717633626,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9412693133044596,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,21.211857163017235,21.211857163017235,1,0,False,seq_texture_fast,0.7617806915020253,0.7617806915020253,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9283659001235034,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,21.925262607626905,21.925262607626905,1,1,False,seq_texture_fast,0.7807638268935316,0.7807638268935316,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9420689179234003,
