coverage,method,psnr_full,scenario,t_frame
1.0,B0a-R,,clean_burst_clean,5.0
1.0,B0a-R,,clean_burst_clean,6.0
1.0,B0a-R,,clean_burst_clean,7.0
1.0,B0a-R,,clean_burst_clean,8.0
1.0,B0a-R,,clean_burst_clean,9.0
1.0,B0a-R,,clean_burst_clean,10.0
1.0,B0a-R,,clean_burst_clean,11.0
1.0,B0a-R,,clean_burst_clean,12.0
1.0,B0a-R,,clean_burst_clean,13.0
1.0,B0a-R,,clean_burst_clean,14.0
1.0,B0a-R,,clean_burst_clean,15.0
1.0,B0a-R,,clean_burst_clean,16.0
1.0,B0a-R,,clean_burst_clean,17.0
1.0,B0a-R,,clean_burst_clean,18.0
1.0,B0a-R,,clean_burst_clean,19.0
1.0,B0a-R,,clean_burst_clean,20.0
1.0,B0a-R,,clean_burst_clean,21.0
1.0,B0a-R,,clean_burst_clean,22.0
1.0,B0a-R,,clean_burst_clean,23.0
1.0,B0a-R,,clean_burst_clean,24.0
1.0,B0a-R,,clean_burst_clean,25.0
1.0,B0a-R,,clean_burst_clean,26.0
1.0,B0a-R,,clean_burst_clean,27.0
1.0,B0a-R,,clean_burst_clean,28.0
1.0,B0a-R,,clean_burst_clean,29.0
1.0,B0a-R,,clean_burst_clean,30.0
1.0,B0a-R,,clean_burst_clean,31.0
1.0,B0a-R,,clean_burst_clean,32.0
1.0,B0a-R,,clean_burst_clean,33.0
1.0,B0a-R,,clean_burst_clean,34.0
1.0,B0a-R,,clean_burst_clean,35.0
1.0,B0a-R,,clean_burst_clean,36.0
1.0,B0a-R,,clean_burst_clean,37.0
1.0,B0a-R,,clean_burst_clean,38.0
1.0,B0a-R,,clean_burst_clean,39.0
1.0,B0a-R,,clean_burst_clean,40.0
1.0,B0a-R,,clean_burst_clean,41.0
1.0,B0a-R,,clean_burst_clean,42.0
1.0,B0a-R,,clean_burst_clean,43.0
1.0,B0a-R,,clean_burst_clean,44.0
1.0,B0a-R,,clean_burst_clean,45.0
1.0,B0a-R,,clean_burst_clean,46.0
1.0,B0a-R,,clean_burst_clean,47.0
1.0,B4,,clean_burst_clean,0.0
1.0,B4,,clean_burst_clean,1.0
1.0,B4,,clean_burst_clean,2.0
1.0,B4,,clean_burst_clean,3.0
1.0,B4,,clean_burst_clean,4.0
1.0,B4,,clean_burst_clean,5.0
1.0,B4,,clean_burst_clean,6.0
1.0,B4,,clean_burst_clean,7.0
1.0,B4,,clean_burst_clean,8.0
1.0,B4,,clean_burst_clean,9.0
1.0,B4,,clean_burst_clean,10.0
1.0,B4,,clean_burst_clean,11.0
0.0,B4,,clean_burst_clean,12.0
0.0,B4,,clean_burst_clean,13.0
0.0,B4,,clean_burst_clean,14.0
0.0,B4,,clean_burst_clean,15.0
0.0,B4,,clean_burst_clean,16.0
0.0,B4,,clean_burst_clean,17.0
0.0,B4,,clean_burst_clean,18.0
0.0,B4,,clean_burst_clean,19.0
0.0,B4,,clean_burst_clean,20.0
0.0,B4,,clean_burst_clean,21.0
0.0,B4,,clean_burst_clean,22.0
0.0,B4,,clean_burst_clean,23.0
1.0,B4,,clean_burst_clean,24.0
1.0,B4,,clean_burst_clean,25.0
1.0,B4,,clean_burst_clean,26.0
1.0,B4,,clean_burst_clean,27.0
1.0,B4,,clean_burst_clean,28.0
1.0,B4,,clean_burst_clean,29.0
1.0,B4,,clean_burst_clean,30.0
1.0,B4,,clean_burst_clean,31.0
1.0,B4,,clean_burst_clean,32.0
1.0,B4,,clean_burst_clean,33.0
1.0,B4,,clean_burst_clean,34.0
1.0,B4,,clean_burst_clean,35.0
1.0,B4,,clean_burst_clean,36.0
1.0,B4,,clean_burst_clean,37.0
1.0,B4,,clean_burst_clean,38.0
1.0,B4,,clean_burst_clean,39.0
1.0,B4,,clean_burst_clean,40.0
1.0,B4,,clean_burst_clean,41.0
1.0,B4,,clean_burst_clean,42.0
1.0,B4,,clean_burst_clean,43.0
1.0,B4,,clean_burst_clean,44.0
1.0,B4,,clean_burst_clean,45.0
1.0,B4,,clean_burst_clean,46.0
1.0,B4,,clean_burst_clean,47.0
1.0,P,,clean_burst_clean,0.0
1.0,P,,clean_burst_clean,1.0
1.0,P,,clean_burst_clean,2.0
1.0,P,,clean_burst_clean,3.0
1.0,P,,clean_burst_clean,4.0
1.0,P,,clean_burst_clean,5.0
1.0,P,,clean_burst_clean,6.0
1.0,P,,clean_burst_clean,7.0
1.0,P,,clean_burst_clean,8.0
1.0,P,,clean_burst_clean,9.0
1.0,P,,clean_burst_clean,10.0
1.0,P,,clean_burst_clean,11.0
0.0,P,,clean_burst_clean,12.0
0.0,P,,clean_burst_clean,13.0
0.0,P,,clean_burst_clean,14.0
0.0,P,,clean_burst_clean,15.0
0.0,P,,clean_burst_clean,16.0
0.0,P,,clean_burst_clean,17.0
0.0,P,,clean_burst_clean,18.0
0.0,P,,clean_burst_clean,19.0
0.0,P,,clean_burst_clean,20.0
0.0,P,,clean_burst_clean,21.0
0.0,P,,clean_burst_clean,22.0
0.0,P,,clean_burst_clean,23.0
1.0,P,,clean_burst_clean,24.0
1.0,P,,clean_burst_clean,25.0
1.0,P,,clean_burst_clean,26.0
1.0,P,,clean_burst_clean,27.0
1.0,P,,clean_burst_clean,28.0
1.0,P,,clean_burst_clean,29.0
1.0,P,,clean_burst_clean,30.0
1.0,P,,clean_burst_clean,31.0
1.0,P,,clean_burst_clean,32.0
1.0,P,,clean_burst_clean,33.0
