P_wins,channel,psnr_B4,psnr_P,scene
False,moderate,24.18445647310819,22.675797922278026,synthetic:texture-v0
False,moderate,23.97298442476763,22.959686266737588,synthetic:texture-v2
True,bursty,23.14765619753273,26.373796036963693,synthetic:clouds-v0
True,bursty,25.025309225688144,26.78271763001093,synthetic:clouds-v4
True,bursty,16.8629246813936,23.732460361329437,synthetic:edges-v0
True,bursty,18.48019881087232,23.409700543354262,synthetic:edges-v9
True,bursty,16.688672735022532,17.152972269517175,synthetic:grid-v0
False,bursty,nan,nan,synthetic:grid-v6
True,bursty,23.492651088000677,28.65399735970957,synthetic:horizon-v0
True,bursty,29.493489514699707,30.950519444079323,synthetic:horizon-v3
True,bursty,19.659459716579505,21.92379227323862,synthetic:illumination-v0
True,bursty,28.6460366994046,32.12856104235109,synthetic:lowlight-v0
True,bursty,30.36582659071478,32.878239207241464,synthetic:lowlight-v8
True,bursty,22.510559207085443,23.226263673447068,synthetic:road-v0
True,bursty,24.499571580196026,25.981987108176202,synthetic:road-v5
True,bursty,25.676578803693396,30.967393912727477,synthetic:smooth-v0
True,bursty,28.063382186654724,29.78383353615404,synthetic:targets-v0
True,bursty,25.95022695838792,29.3879566299564,synthetic:targets-v7
False,bursty,21.353533829081574,20.52795467655354,synthetic:text-v0
True,bursty,20.35065502639112,20.84035719913531,synthetic:text-v11
False,bursty,21.329598602750842,21.022439711182223,synthetic:texture-v0
True,bursty,21.085389357880022,21.585134609721205,synthetic:texture-v2
False,harsh,14.040178539862518,14.040178539862518,synthetic:clouds-v0
False,harsh,12.194717373163499,12.194717373163499,synthetic:clouds-v4
False,harsh,8.889302662835975,8.889302662835975,synthetic:edges-v0
False,harsh,8.839227081325294,8.839227081325294,synthetic:edges-v9
False,harsh,9.982366059381253,9.982366059381253,synthetic:grid-v0
False,harsh,nan,nan,synthetic:grid-v6
False,harsh,14.370024846470395,14.370024846470395,synthetic:horizon-v0
False,harsh,15.58383403783527,15.58383403783527,synthetic:horizon-v3
False,harsh,9.10729854620376,9.10729854620376,synthetic:illumination-v0
False,harsh,7.410996046467721,7.410996046467721,synthetic:lowlight-v0
False,harsh,7.966845590515201,7.966845590515201,synthetic:lowlight-v8
False,harsh,14.083478943161031,14.083478943161031,synthetic:road-v0
False,harsh,11.103101245606801,11.103101245606801,synthetic:road-v5
False,harsh,14.247215044282171,14.247215044282171,synthetic:smooth-v0
False,harsh,18.217121663890815,18.217121663890815,synthetic:targets-v0
False,harsh,15.654827345988593,15.654827345988593,synthetic:targets-v7
False,harsh,7.825236389058459,7.825236389058459,synthetic:text-v0
False,harsh,9.103646190076443,9.094003252180183,synthetic:text-v11
False,harsh,17.323119316633047,17.323119316633047,synthetic:texture-v0
False,harsh,15.57365445627369,15.57365445627369,synthetic:texture-v2
